Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100108,Male,No,1,Graduate,No,2885,1709,175,240,1.0,Semiurban,Y
LP100109,Male,No,0,Graduate,Yes,8032,1698,321,84,1.0,Semiurban,Y
LP100110,Male,Yes,0,Graduate,No,3832,0,62,360,1.0,Rural,Y
LP100111,Male,Yes,0,Not Graduate,No,1421,1230,119,360,0.0,Rural,N
LP100112,Female,No,0,Graduate,No,3710,6881,507,360,1.0,Semiurban,Y
LP100113,Female,No,0,Not Graduate,Yes,4638,970,89,360,1.0,Semiurban,Y
LP100114,Male,Yes,1,Graduate,No,4788,1348,262,360,1.0,Urban,Y
LP100115,Female,Yes,0,Not Graduate,No,2473,1889,124,360,1.0,Urban,Y
LP100116,Female,Yes,1,Graduate,No,3035,1927,176,360,1.0,Urban,Y
LP100117,Male,No,0,Graduate,No,2432,2516,161,360,1.0,Semiurban,Y
LP100118,Female,Yes,1,Graduate,No,3370,0,116,60,1.0,Urban,Y
LP100119,Male,Yes,1,Graduate,No,2615,2610,169,360,0.0,Urban,N
LP100120,Female,Yes,0,Graduate,No,7139,3966,498,360,1.0,Semiurban,Y
LP100121,Female,Yes,1,Graduate,No,2551,4273,266,360,0.0,Urban,N
LP100122,Male,Yes,2,Graduate,No,4478,1702,182,360,1.0,Semiurban,Y
LP100123,Male,No,0,Graduate,No,4314,0,169,300,1.0,Semiurban,Y
LP100124,Male,Yes,0,Not Graduate,No,5512,0,269,360,1.0,Urban,Y
LP100125,Male,Yes,2,Graduate,No,7623,1296,159,360,1.0,Urban,Y
LP100126,Female,Yes,1,Graduate,No,6140,0,176,360,1.0,Urban,Y
LP100127,Female,Yes,0,Graduate,No,5593,1944,343,360,0.0,Urban,N
LP100128,Male,Yes,2,Graduate,Yes,2587,1193,154,360,0.0,Semiurban,N
LP100129,Male,Yes,0,Graduate,No,2326,802,149,360,1.0,Rural,Y
LP100130,Male,Yes,1,Graduate,No,2630,1585,69,120,1.0,Urban,Y
LP100131,Male,Yes,2,Not Graduate,No,4955,708,256,360,0.0,Semiurban,N
LP100132,Male,Yes,3+,Not Graduate,No,3412,4431,335,360,1.0,Rural,Y
LP100133,Male,Yes,0,Graduate,No,6752,1430,356,60,0.0,Urban,N
LP100134,Female,No,1,Graduate,Yes,7995,0,287,360,1.0,Urban,Y
LP100135,Male,No,0,Graduate,Yes,3090,0,52,360,0.0,Semiurban,N
LP100136,Male,Yes,0,Graduate,No,4262,976,177,360,1.0,Semiurban,Y
LP100137,Male,Yes,0,Graduate,No,4157,4045,240,360,1.0,Semiurban,Y
LP100138,Male,No,0,Graduate,Yes,3846,2107,199,180,1.0,Semiurban,Y
LP100139,Female,Yes,0,Graduate,No,3120,6199,381,120,0.0,Urban,N
LP100140,Female,No,0,Graduate,No,8034,0,288,360,1.0,Semiurban,Y
LP100141,Male,No,1,Graduate,No,4309,1530,147,180,1.0,Urban,Y
LP100142,Male,Yes,1,Not Graduate,No,3301,0,119,360,1.0,Semiurban,Y
LP100143,Male,Yes,2,Graduate,No,2693,0,48,360,0.0,Rural,N
LP100144,Male,No,2,Graduate,No,6070,0,92,180,1.0,Urban,Y
LP100145,Male,Yes,0,Graduate,No,2409,14782,499,360,1.0,Urban,Y
LP100146,Male,Yes,3+,Graduate,No,5377,0,223,240,1.0,Urban,Y
LP100147,Male,Yes,2,Graduate,No,5459,0,239,360,1.0,Urban,Y
LP100148,Male,Yes,0,Graduate,No,3337,1095,152,360,1.0,Urban,Y
LP100149,Male,No,0,Graduate,No,4986,0,226,180,1.0,Semiurban,Y
LP100150,Female,No,0,Graduate,No,4637,0,90,180,0.0,Rural,N
LP100151,Male,No,0,Not Graduate,No,3207,0,156,360,1.0,Semiurban,Y
LP100152,Male,Yes,0,Graduate,No,4217,0,199,360,1.0,Urban,Y
LP100153,Male,Yes,1,Graduate,No,4332,2593,249,360,1.0,Urban,Y
LP100154,Female,Yes,1,Not Graduate,No,3520,3828,125,300,1.0,Urban,Y
LP100155,Male,Yes,0,Not Graduate,No,3387,2521,183,240,1.0,Urban,Y
LP100156,Male,Yes,0,Graduate,No,2282,2509,102,360,1.0,Rural,Y
LP100157,Male,No,2,Graduate,No,3851,0,142,120,1.0,Urban,Y
LP100158,Male,No,0,Graduate,No,4844,1422,136,240,1.0,Rural,Y
LP100159,Male,Yes,3+,Graduate,No,4417,1432,186,360,1.0,Semiurban,Y
LP100160,Male,Yes,0,Graduate,No,7075,0,157,360,1.0,Semiurban,Y
LP100161,Male,Yes,3+,Graduate,No,5889,6404,263,360,0.0,Urban,N
LP100162,Male,Yes,0,Graduate,No,2594,793,80,360,1.0,Semiurban,Y
LP100163,Male,No,0,Graduate,No,3820,0,61,360,1.0,Semiurban,Y
LP100164,Male,Yes,0,Graduate,No,3528,1706,210,120,1.0,Urban,Y
LP100165,Female,No,1,Graduate,No,4177,0,107,360,0.0,Urban,N
LP100166,Male,Yes,2,Graduate,No,4180,2061,246,360,1.0,Rural,Y
LP100167,Male,Yes,0,Graduate,No,5861,991,259,360,0.0,Urban,N
LP100168,Male,No,3+,Graduate,No,4616,2095,116,360,1.0,Semiurban,Y
LP100169,Male,Yes,1,Graduate,No,8238,706,232,240,1.0,Urban,Y
LP100170,Male,Yes,1,Graduate,No,4781,2914,165,360,1.0,Urban,Y
LP100171,Male,Yes,2,Graduate,No,2652,1660,203,360,1.0,Urban,Y
LP100172,Male,Yes,0,Graduate,No,3238,1902,149,360,1.0,Urban,Y
LP100173,Male,No,0,Not Graduate,No,4568,0,149,180,1.0,Semiurban,Y
LP100174,Male,Yes,2,Not Graduate,No,1349,2261,149,300,1.0,Semiurban,Y
LP100175,Male,No,2,Graduate,No,1997,1444,148,360,1.0,Rural,Y
LP100176,Male,Yes,0,Not Graduate,Yes,3626,3715,347,360,1.0,Semiurban,Y
LP100177,Male,Yes,2,Graduate,No,7064,0,229,120,1.0,Urban,Y
LP100178,Female,No,0,Graduate,No,8592,0,187,360,1.0,Semiurban,Y
LP100179,Male,Yes,2,Not Graduate,No,2908,1740,194,360,1.0,Semiurban,Y
LP100180,Male,Yes,0,Graduate,No,7504,0,146,360,1.0,Semiurban,Y
LP100181,Male,Yes,3+,Graduate,No,4357,0,129,360,1.0,Semiurban,Y
LP100182,Female,Yes,0,Graduate,No,1803,2755,169,360,1.0,Semiurban,Y
LP100183,Female,Yes,0,Graduate,No,4169,1554,224,360,1.0,Urban,N
LP100184,Male,Yes,0,Graduate,No,2979,1834,196,360,1.0,Semiurban,Y
LP100185,Male,Yes,0,Graduate,Yes,7632,0,166,240,1.0,Urban,Y
LP100186,Female,Yes,0,Graduate,No,4128,2495,327,360,1.0,Semiurban,Y
LP100187,Male,No,2,Graduate,No,2073,0,44,12,1.0,Urban,Y
LP100188,Male,Yes,2,Graduate,No,1835,7348,169,360,1.0,Rural,Y
LP100189,Male,No,0,Not Graduate,No,3239,0,124,360,1.0,Semiurban,Y
LP100190,Male,Yes,2,Not Graduate,No,866,0,41,360,1.0,Semiurban,Y
LP100191,Female,Yes,1,Graduate,Yes,3464,0,120,360,1.0,Rural,Y
LP100192,Female,No,0,Graduate,No,4754,0,170,84,1.0,Rural,Y
LP100193,Male,Yes,0,Not Graduate,Yes,2015,0,68,180,0.0,Semiurban,N
LP100194,Male,No,2,Graduate,No,7233,0,119,360,1.0,Urban,Y
LP100195,Male,Yes,1,Graduate,No,8061,1273,363,360,1.0,Rural,Y
LP100196,Male,Yes,0,Graduate,No,2394,1451,106,360,1.0,Semiurban,Y
LP100197,Female,Yes,1,Not Graduate,No,2781,1044,183,360,1.0,Semiurban,Y
LP100198,Female,Yes,0,Graduate,No,7236,2277,205,360,1.0,Rural,Y
LP100199,Male,No,0,Graduate,No,4184,0,107,360,1.0,Urban,Y
LP100200,Male,Yes,0,Graduate,No,1945,3209,168,360,1.0,Urban,Y
LP100201,Male,No,0,Graduate,No,3870,1529,171,360,1.0,Semiurban,Y
LP100202,Male,No,1,Graduate,No,2619,2793,157,360,1.0,Semiurban,Y
LP100203,Female,Yes,2,Graduate,Yes,8473,0,220,300,1.0,Semiurban,Y
LP100204,Male,Yes,0,Graduate,No,5843,1015,138,360,1.0,Semiurban,Y
LP100205,Male,No,0,Graduate,No,3523,1443,217,360,1.0,Semiurban,Y
LP100206,Male,No,1,Graduate,No,4528,0,139,180,1.0,Semiurban,Y
LP100207,Male,Yes,2,Not Graduate,Yes,1755,5843,266,360,1.0,Rural,Y
LP100208,Male,Yes,1,Not Graduate,Yes,2381,2177,156,360,0.0,Urban,N
LP100209,Male,Yes,2,Graduate,No,9839,1240,389,360,1.0,Semiurban,Y
LP100210,Male,No,0,Graduate,No,4312,1593,234,12,1.0,Rural,Y
LP100211,Male,Yes,2,Graduate,No,6984,0,259,180,1.0,Semiurban,Y
LP100212,Male,No,0,Graduate,No,4757,0,117,84,1.0,Urban,Y
LP100213,Male,Yes,0,Graduate,Yes,9489,4456,479,360,1.0,Urban,Y
LP100214,Male,Yes,0,Graduate,No,1395,2131,83,360,1.0,Rural,Y
LP100215,Male,Yes,0,Graduate,No,3775,2420,221,360,1.0,Urban,Y
LP100216,Male,Yes,3+,Graduate,No,10346,934,340,120,1.0,Urban,Y
LP100217,Male,Yes,2,Not Graduate,No,5544,976,165,360,1.0,Urban,Y
LP100218,Male,Yes,0,Graduate,Yes,9547,722,418,360,1.0,Semiurban,Y
LP100219,Female,Yes,0,Graduate,No,4172,1814,147,60,1.0,Semiurban,Y
LP100220,Male,Yes,0,Graduate,No,3116,3777,325,360,0.0,Rural,N
LP100221,Male,Yes,0,Not Graduate,No,1863,1588,86,360,1.0,Semiurban,Y
LP100222,Male,No,1,Not Graduate,No,1792,0,89,180,1.0,Semiurban,Y
LP100223,Male,Yes,2,Graduate,No,6527,0,204,360,1.0,Semiurban,Y
LP100224,Male,Yes,3+,Graduate,No,5553,754,100,360,1.0,Urban,Y
LP100225,Male,Yes,1,Graduate,No,4037,6047,178,360,1.0,Urban,Y
LP100226,Female,No,2,Graduate,No,5537,0,99,360,1.0,Rural,Y
LP100227,Male,Yes,0,Graduate,No,4528,0,77,360,1.0,Semiurban,Y
LP100228,Female,No,0,Graduate,No,7108,0,173,360,1.0,Semiurban,Y
LP100229,Male,No,0,Graduate,No,7071,0,186,240,1.0,Urban,Y
LP100230,Female,Yes,0,Graduate,No,2330,2382,89,360,1.0,Rural,Y
LP100231,Male,Yes,1,Graduate,No,4867,4708,290,120,1.0,Semiurban,Y
LP100232,Male,No,0,Graduate,No,1672,0,46,360,1.0,Rural,Y
LP100233,Male,Yes,0,Graduate,Yes,4955,0,185,360,1.0,Rural,N
LP100234,Male,Yes,0,Not Graduate,No,4569,4416,196,360,1.0,Rural,Y
LP100235,Male,No,3+,Graduate,No,2033,398,114,360,1.0,Rural,N
LP100236,Male,Yes,0,Not Graduate,No,2606,2599,172,360,1.0,Urban,Y
LP100237,Male,No,2,Graduate,No,4209,0,155,12,0.0,Rural,Y
LP100238,Male,Yes,2,Not Graduate,No,3727,717,73,360,1.0,Urban,Y
LP100239,Male,No,0,Not Graduate,No,2811,0,97,300,1.0,Rural,Y
LP100240,Female,Yes,0,Graduate,No,2197,1241,96,360,0.0,Urban,N
LP100241,Female,Yes,2,Not Graduate,No,3181,2535,271,360,1.0,Semiurban,Y
LP100242,Female,Yes,0,Graduate,No,1688,1887,164,360,1.0,Urban,Y
LP100243,Male,No,3+,Graduate,No,3684,0,137,180,1.0,Rural,Y
LP100244,Male,Yes,0,Graduate,No,3285,3889,300,120,1.0,Urban,Y
LP100245,Female,Yes,0,Graduate,No,3889,1555,204,120,0.0,Semiurban,N
LP100246,Male,Yes,2,Graduate,No,3078,2350,85,180,1.0,Rural,Y
LP100247,Female,Yes,2,Graduate,No,1827,0,72,360,1.0,Semiurban,N
LP100248,Female,Yes,3+,Graduate,No,3423,1153,97,360,1.0,Urban,Y
LP100249,Female,Yes,1,Graduate,Yes,7685,0,299,360,1.0,Semiurban,Y
LP100250,Male,Yes,3+,Graduate,No,8380,1484,152,360,1.0,Urban,Y
LP100251,Male,Yes,2,Graduate,No,16017,1697,458,360,1.0,Semiurban,Y
LP100252,Female,Yes,2,Graduate,No,10617,7286,592,360,1.0,Rural,Y
LP100253,Male,Yes,0,Not Graduate,No,1697,0,45,360,1.0,Semiurban,Y
LP100254,Male,No,0,Graduate,No,3345,0,131,360,1.0,Urban,Y
LP100255,Male,Yes,3+,Graduate,No,4135,0,138,360,1.0,Urban,Y
LP100256,Female,Yes,0,Not Graduate,No,3126,2587,278,360,1.0,Rural,Y
LP100257,Male,Yes,0,Graduate,No,4350,0,120,360,0.0,Urban,N
LP100258,Male,No,0,Graduate,No,15740,0,634,360,1.0,Semiurban,Y
LP100259,Male,No,0,Graduate,No,2309,830,139,180,1.0,Semiurban,Y
LP100260,Male,No,0,Graduate,No,2828,0,68,360,1.0,Rural,N
LP100261,Female,Yes,0,Not Graduate,No,8093,2895,455,360,1.0,Rural,Y
LP100262,Male,Yes,2,Graduate,No,2984,2227,150,360,1.0,Urban,Y
LP100263,Male,Yes,0,Graduate,No,5199,1664,134,360,1.0,Semiurban,Y
LP100264,Female,Yes,1,Graduate,No,7397,0,112,360,1.0,Semiurban,Y
LP100265,Male,Yes,0,Graduate,No,5472,0,225,360,1.0,Urban,Y
LP100266,Male,No,0,Not Graduate,No,3641,0,78,360,1.0,Urban,N
LP100267,Male,No,0,Not Graduate,No,5491,0,92,180,0.0,Semiurban,N
LP100268,Male,No,1,Not Graduate,No,2005,0,65,360,1.0,Urban,Y
LP100269,Male,Yes,0,Graduate,No,3187,2060,142,360,1.0,Rural,Y
LP100270,Female,No,2,Graduate,Yes,6184,0,242,360,1.0,Urban,Y
LP100271,Female,Yes,0,Graduate,No,1342,3004,82,360,1.0,Urban,Y
LP100272,Female,Yes,0,Graduate,Yes,10039,1356,224,360,1.0,Urban,Y
LP100273,Female,No,0,Graduate,Yes,5442,0,159,360,1.0,Urban,Y
LP100274,Male,Yes,0,Graduate,No,4555,3603,271,36,1.0,Semiurban,Y
LP100275,Male,Yes,2,Not Graduate,Yes,1470,1933,149,360,1.0,Semiurban,N
LP100276,Female,Yes,2,Graduate,No,2063,0,73,360,1.0,Semiurban,Y
LP100277,Male,Yes,1,Graduate,No,3363,0,157,36,1.0,Rural,Y
LP100278,Male,No,0,Graduate,Yes,7181,0,162,360,1.0,Semiurban,Y
LP100279,Female,Yes,0,Graduate,No,1336,0,48,360,1.0,Urban,Y
LP100280,Female,No,0,Graduate,No,6460,0,245,360,1.0,Rural,Y
LP100281,Male,Yes,3+,Graduate,No,3435,3033,261,300,1.0,Semiurban,Y
LP100282,Male,Yes,0,Graduate,No,3703,3085,337,300,1.0,Semiurban,Y
LP100283,Male,No,1,Graduate,No,4814,449,165,360,0.0,Semiurban,N
LP100284,Male,No,0,Graduate,No,4856,1347,173,360,1.0,Urban,Y
LP100285,Male,No,0,Graduate,Yes,3113,0,140,360,1.0,Rural,N
LP100286,Male,Yes,0,Graduate,No,5904,2074,169,84,1.0,Urban,Y
LP100287,Male,No,0,Graduate,No,1169,0,19,360,1.0,Semiurban,Y
LP100288,Male,Yes,2,Graduate,No,3268,2112,164,36,1.0,Urban,Y
LP100289,Male,Yes,0,Not Graduate,No,3566,4178,183,120,1.0,Rural,Y
LP100290,Male,Yes,1,Graduate,No,3464,2140,162,360,1.0,Rural,Y
LP100291,Male,No,0,Graduate,No,1533,4696,308,360,1.0,Urban,Y
LP100292,Female,Yes,3+,Not Graduate,No,4972,1110,165,360,1.0,Semiurban,Y
LP100293,Male,Yes,0,Graduate,No,2107,1851,157,360,1.0,Semiurban,Y
LP100294,Male,Yes,2,Graduate,No,4034,1400,129,360,1.0,Semiurban,Y
LP100295,Male,Yes,2,Graduate,Yes,5010,2523,193,360,0.0,Semiurban,Y
LP100296,Male,Yes,3+,Graduate,No,4233,1691,139,360,1.0,Semiurban,Y
LP100297,Male,No,0,Not Graduate,Yes,6856,0,240,360,1.0,Urban,N
LP100298,Male,Yes,1,Graduate,No,4066,1309,123,360,1.0,Semiurban,Y
LP100299,Male,Yes,0,Graduate,No,5297,1516,273,360,0.0,Semiurban,N
LP100300,Male,Yes,0,Graduate,No,4060,0,158,84,1.0,Semiurban,Y
LP100301,Male,Yes,0,Graduate,Yes,6452,594,210,180,1.0,Rural,Y
LP100302,Male,Yes,0,Graduate,No,9011,0,143,360,1.0,Urban,Y
LP100303,Male,Yes,3+,Graduate,No,4516,2070,104,360,0.0,Urban,N
LP100304,Male,Yes,0,Graduate,Yes,7080,0,238,360,1.0,Urban,Y
LP100305,Female,Yes,1,Graduate,Yes,10255,1780,534,360,1.0,Urban,Y
LP100306,Male,Yes,1,Not Graduate,No,6913,0,249,360,1.0,Urban,Y
LP100307,Male,Yes,0,Graduate,No,3388,0,102,360,1.0,Rural,Y
LP100308,Female,Yes,1,Graduate,No,7404,1335,401,360,1.0,Urban,Y
LP100309,Male,Yes,0,Graduate,No,4801,0,105,60,1.0,Semiurban,Y
LP100310,Male,Yes,0,Not Graduate,No,6058,3324,259,360,1.0,Urban,Y
LP100311,Male,No,0,Graduate,Yes,6297,0,219,360,1.0,Semiurban,Y
LP100312,Male,No,3+,Not Graduate,No,3813,0,96,240,1.0,Rural,Y
LP100313,Female,No,2,Graduate,Yes,5847,4996,541,360,1.0,Urban,Y
LP100314,Female,Yes,3+,Not Graduate,Yes,4148,1315,168,360,1.0,Rural,Y
LP100315,Male,No,0,Graduate,No,4923,0,83,300,1.0,Rural,Y
LP100316,Male,No,0,Graduate,No,3837,0,81,360,1.0,Semiurban,Y
LP100317,Male,No,0,Graduate,No,3646,0,123,180,1.0,Urban,Y
LP100318,Male,Yes,0,Not Graduate,No,8642,3920,430,300,1.0,Semiurban,N
LP100319,Male,Yes,0,Graduate,No,5445,1157,326,360,1.0,Rural,Y
LP100320,Male,No,1,Not Graduate,No,2391,353,99,360,0.0,Urban,N
LP100321,Male,Yes,0,Not Graduate,No,2813,4176,268,120,1.0,Semiurban,Y
LP100322,Male,Yes,0,Graduate,No,7485,2600,227,120,1.0,Urban,Y
LP100323,Male,Yes,2,Graduate,No,2793,2705,103,360,1.0,Urban,Y
LP100324,Female,Yes,1,Graduate,No,1853,0,67,360,1.0,Rural,Y
LP100325,Male,Yes,0,Not Graduate,No,1510,1088,118,360,0.0,Semiurban,N
LP100326,Male,Yes,0,Graduate,No,1618,3985,199,120,1.0,Urban,Y
